english_name,min_kg,max_kg
Afghan hounds,26,29
Airedale terriers,18,29
Akitas,34,52
Alaskan malamutes,32,43
American Staffordshire terriers,25,29
Australian cattle dogs,14,16
Australian shepherds,18,29
Basenjis,9,11
Basset hounds,20,29
Beagles,8,14
Belgian Malinois,25,34
Bernese mountain dogs,38,50
Bichon frises,3,5
Bloodhounds,36,50
Border collies,12,20
Border terriers,5,7
Borzois,27,45
Bostonﾠterriers,5,11
Bouviers des Flandres,43,54
Boxers,23,34
Brittany spaniels,14,18
Brusselsﾠgriffons,3,5
Bull terriers(Miniature),11,14
Bull terriers(Standard),20,36
Bulldogs,18,23
Bullmastiffs,45,59
Cairn terriers,6,8
Cardigan Welsh corgis,11,14
Cavalier King Charlesﾠspaniels,5,8
Chesapeake Bayﾠretrievers,25,36
Chihuahuas,2,3
Chinese crested,0,5
Chinese Shar-Pei,20,27
Chow Chows,20,32
Cocker spaniels,10,13
Collies,23,32
Dachshunds(mini),4,5
Dachshunds(standard),5,5
Dalmatians,23,25
Doberman pinschers,29,41
English cocker spaniels,12,15
English setters,20,36
English springer spaniels,18,23
Flat-Coated retrievers,27,32
French bulldogs(mini),9,10
French bulldogs(standard),10,13
German shepherds,34,43
German shorthaired pointers,20,32
German wirehaired pointers,27,32
Giant schnauzers,25,36
Golden retrievers,29,34
Gordon setters,20,36
Great Danes,50,81
Great Pyrenees,38,45
Greater Swiss mountain dogs,59,61
Havanese,3,5
Irish setters,25,34
Irish wolfhounds,41,68
Italian greyhounds(mini),3,4
Italian greyhounds(standard),4,5
Japanese Chin?mini?,2,3
Japanese Chin?standard?,3,7
Keeshond?mini?,16,20
Keeshond?standard?,25,29
Labradorﾠretrievers,29,36
LhasaﾠApsos,6,7
Maltese,2,3
Mastiffs,68,72
Miniature pinschers,4,5
Miniature schnauzers,5,7
Newfoundlands,45,68
Norwegian elkhounds,18,27
Norwichﾠterriers,5,5
Nova Scotia duck tolling retrievers,17,23
Old English sheepdogs,27,45
Papillons,3,5
Parson Russell terriers (Jack Russell terriers),6,8
Pekingese?sleeve?,0,3
Pekingese?mini?,3,4
Pekingese?standard?,4,5
Pembroke Welsh corgis,10,12
Pomeranians,2,3
Poodles?mini?,5,8
Poodles?standard?,20,29
Portuguese water dogs,16,25
Pugs,6,8
Rhodesian ridgebacks,29,41
Rottweilers,32,61
Samoyeds,16,29
Schipperkes,5,8
Scottish terriers,8,9
Shetland sheepdogs,8,9
Shiba Inu,7,11
Shih Tzu,4,7
Siberian huskies,16,27
Silky terriers,4,5
Soft-Coated Wheaten terriers,14,20
Saint Bernards,50,90
Staffordshire bull terriers,10,17
Standard schnauzers,14,20
Tibetan terriers,8,14
Toy fox terriers,2,3
Vizsla,20,27
Weimaraners,23,32
Welsh terriers,9,9
West Highlandﾠwhite terriers,6,9
Whippets,11,20
Wirehaired fox terriers,6,9
Yorkshire terriers,0,3
